Id,Sample #,Time,parent,voltage [V],temp,light,adc2 [V],adc3 [V],adc4 [V],adc5 [V],adc6 [V]
10,,9/24/2015 8:26:34 AM,0,2.8398,29.566,460,0.82446,0.58295,0.46358,0.51355,0.55241
11,,9/24/2015 8:26:35 AM,0,3.0323,27.105,752,1.4761,0.78254,0.5454,0.5454,0.57505
13,,9/24/2015 8:26:35 AM,0,3.0397,25.685,855,1.3668,0.70718,0.5081,0.49919,0.51701
24,,9/24/2015 8:26:39 AM,10,2.9398,29.308,334,0.52876,0.44542,0.45404,0.47416,0.51152
53,,9/24/2015 8:26:42 AM,24,2.8593,24.774,17,0.44719,0.43042,0.46396,0.54222,0.71831
40,,9/24/2015 8:26:53 AM,20,2.7646,31.827,230,0.59994,0.51886,0.55129,0.64858,0.73776
3,,9/24/2015 8:26:53 AM,0,2.9889,29.652,509,1.3732,1.3031,1.2709,0.76257,0.58726
20,,9/24/2015 8:26:57 AM,0,2.9261,29.308,202,0.50913,0.57205,0.59494,0.99823,1.0926
54,,9/24/2015 8:27:09 AM,0,2.39,-273.15,492,0.66817,0.86675,0.79666,0.82236,0.8574
255,,9/24/2015 8:27:14 AM,0,2.9261,29.738,631,1.3987,1.3643,1.1699,0.94103,0.77227
11,,9/24/2015 8:27:33 AM,0,3.0323,27.105,748,1.4465,0.76179,0.53948,0.54837,0.56912
10,,9/24/2015 8:27:34 AM,0,2.8398,29.48,460,0.82446,0.58295,0.46358,0.51355,0.55241
13,,9/24/2015 8:27:34 AM,0,3.0397,25.602,862,1.3787,0.71609,0.51107,0.49919,0.51701
24,,9/24/2015 8:27:38 AM,10,2.9398,29.394,334,0.52876,0.4483,0.45404,0.47703,0.51439
53,,9/24/2015 8:27:41 AM,24,2.8593,25.022,15,0.45837,0.43322,0.46676,0.54502,0.71831
40,,9/24/2015 8:27:47 AM,20,2.7707,31.915,230,0.62835,0.52814,0.56064,0.65002,0.73939
3,,9/24/2015 8:27:52 AM,0,2.9889,29.652,509,1.3732,1.3002,1.268,0.75964,0.5785
